"Authors","Title","Journal","Year","study_design","aims","intervention1","intervention2","intervention3","description","inclusion_criterion1","inclusion_criterion2","inclusion_criterion3","inclusion_criterion4","inclusion_criterion5","inclusion_criterion6","inclusion_criterion7","inclusion_criterion8","exclusion_criterion1","exclusion_criterion2","exclusion_criterion3","exclusion_criterion4","exclusion_criterion5","exclusion_criterion6","exclusion_criterion7","exclusion_criterion8","exclusion_criterion9","exclusion_criterion10","exclusion_criterion11","exclusion_criterion12","exclusion_criterion13","exclusion_criterion14","exclusion_criterion15","exclusion_criterion16","exclusion_criterion17","exclusion_criterion18","exclusion_criterion19","exclusion_criterion20","exclusion_criterion21","exclusion_criterion22","exclusion_criterion23","exclusion_criterion24","exclusion_criterion25","exclusion_criterion26"
"Altman et al. 2011","Caffeine in Parkinson's disease: a pilot open-label, dose-escalation study.","Mov. Disord.","2011","Quasi-experimental study","To establish the optimal tolerated caffeine dose in iPS-patients and to assess potential motor and nonmotor benefits in a pilot study","adenosine_antagonists",NA,NA,"Start with 200mg caffeine qd and increase of 200mg per week until dosage of 1000mg qd; assessment of effect after six weeks","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"consumption of caffeine of more than 200 mg daily calculated from standardized nutrition charts"," dementia with Mini Mental State Examination of less than 26 and activities of daily living impairment secondary to cognitive loss"," active peptic ulcer disease"," severe intolerance or allergy to caffeine"," recent changes to antiparkinsonian medication during four weeks before entering the trial"," supraventricular cardiac arrhythmia"," uncontrolled hypertension"," current use of prescribed alerting agents"," intake of lithium or clozapine"," premenopausal women not using effective methods of birth control.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson et al. 1992","Trial of Sinemet CR4 in patients with Parkinson's disease",NA,"1992","Quasi-experimental study","Assess the safety and tolerability of Sinemet CR4 for parkinsonian symptoms","levodopa",NA,NA,"After four months of medication optimisation, levodopa gradually replaced by sinemet with continuous relase formulation during 12 weeks. After this baseline period the study began and results were ascertained after 52 weeks","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnold et al. 2005","High doses of pergolide improve clinical global impression in advanced Parkinson's disease - A preliminary open label study","Arch Gerontol Geriatr","2005","Quasi-experimental study","Evaluate efficacy and saftey of high-dose pergolide treatment in patients with moderate to severe PD and to assess amounts of reduction in levodopa, improvement in UPDRS and adverse reactions","pergolide",NA,NA,"Patients under medication with bromocriptine, lisuride, alpha-dihydroercocryptine or ropinirole switched to equivalent starting dose pergolide, over twelve weeks pergolide dosage enhanced at 0.5mg steps until 3mg qd and 1mg steps after reaching 3mg qd; levodopa dose weekly or bi-weekly decreased in 100mg steps. Afterwards twelve weeks dosage unchanged, clinical assessment after 24 weeks.","Advanced iPS according to unknocn criteria"," previous treatment with levodopa with stable dosage over three months"," previous treament either pergolide, bromocriptine, lisuride, dihydroergocryptine, ropinirole or selegiline at stable dosage over at least one month before entering study",NA,NA,NA,NA,NA,"Concurrent or past diagnosis of malignant melanoma"," history of psychosis including schizophrenia"," severe depression"," past or current history of non-febrile seizures"," active gastric or duodenal ulcer or ulcer within past 12 months"," significant or unstable medical condition (including serious hepatic, cardiovascular, pulmonary, renal disease) or serum concentration of any enzyme greater than twice upper limit of reference","  serum creatinine concentration greater than 1.5 times upper limit"," pregnancy"," lactation or women with childbearing potential w/o medically accepted contraception",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bara-Jimenez et al. 2003","Adenosine A2A receptor antagonist treatment of Parkinson's disease","Neurology","2003","Randomised-controlled trial (RCT)","evaluate pathogenic and therapeutic potential of adenosine A2A receptor-mediated mechanisms in iPS-patients","adenosine_antagonist",NA,NA,"Patients randomized to a. placebo and KW-6002 group as 1 to 3 ratio. b. KW6002 group received two week placebo, two weeks 40mg qd and two weeks 80mg. Three evaluations with motor functions assessed a. when KW6002 alone, b. KS6002 coadministered with suboptimal and optimal dose, steady state levodopa infusion iv, c. periodically after discontinuation of levodopa","moderate to advanced iPS according to unknown clinical criteria"," stable regimen of levodopa and short-acting dopamine agonists for at least four weeks prior to study",NA,NA,NA,NA,NA,NA,"history of bilateral intracranial surgery for iPS"," premedication with centrally acting medication other than approved antiparkinsonian drugs"," hepatotoxic drugs or drugs metabolized by CYP450_3A4"," exposure to KW_6002 before or other investigational drug within two months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbagallo et al. 2018","The placebo effect on resting tremor in Parkinson's disease: an electrophysiological study","Parkinsonism Relat. Disord.","2018","Quasi-experimental study","Assess effects of placebo on resting tremor","placebo"," apomorphine",NA,"Administration of a. placebo and b. apomorphine sc., tremor assessment after 30 and 60 minutes","iPS according to diagnostic criteria as defined by Jankovic et al."," resting tremor with item 20 of UPDRS more than 2 for at least one hand during physical examination"," damage to the nigrostriatal dopaminergic system on DAT-SPECT imaging",NA,NA,NA,NA,NA,"cognitive impairment with an MMSE score of less than 24"," neurological, cerebrovascular or thyroid comorbidities"," moderate to severe dyskinesias"," normal DAT-SPECT","  evidence of brain tumor, marked atrophy, and/or diffuse white matter hyperintensities on MRI"," treatment with deep brain stimulation"," general exclusion criteria for MRI scanning. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Binder et al. 2008","Effect of Cabergoline on Parkinsonian Tremor Assessed by Long-Term-Actigraphy","European Neurology","2008","Quasi-experimental study","Study anti-tremulous effect of cabergoline; validate long-term actigraphy","cabergolin"," pergolide",NA,"baseline period of 3 days, initial dosage of 0,5mg cabergoline on day 4, titration phase of 1mg increase per week, two weeks maintenance, clinical visits after three and six weeks.","iPS according to UK Brain Bank criteria"," moderate to marked rest tremor at one arm (item 20 UPDRS larger than 2)",NA,NA,NA,NA,NA,NA,"anticholinergics, budipine or dopamine agonists in current pre-medication"," contraindications against dopamine agonists or ergotamine derivates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonuccelli et al. 1997","Clozapine in Parkinson's disease tremor. Effects of acute and chronic administration.","Neurology","1997","Randomised-controlled trial (RCT)","To evaluate the effects of acute clozapine administration on parkinsonian mixed tremor, to establish the predictive value for long-term response and to determine differences in pharmacologic response of resting and postural tremor","clozapine",NA,NA,"all antiparkinsonian medication was withdrawn twelve hours before. Administration of a 12.5mg single dose of a. clozapine or b. placebo. UPDRS at baseline and at ten minute intervals for to hours. 15 iPS-patients with more than 50 percent improvement included in chronic, open-phase study for 15.5 months.","iPS according to unknown clinical criteria"," presence of resting and postural tremor poorly responsive to levodopa",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brannan & Yahr (1995)","Comparative Study of Selegiline Plus L-Dopa-Carbidopa Versus L-Dopa-Carbidopa Alone in the Treatment of Parkinson's Disease","Ann. Neurol.","1995","Quasi-experimental study","To evaluate the effects of selegiline as add-on to levodopa and carbidopa vs. the effect of levodopa and carbidopa alone","mao_inhibitor"," levodopa",NA,"subjects in both groups randomly matched by computer for age, years of iPS at disease onset and years of treatment. Both groups under levodopa and carbidopa therapy. Patients assessed at regular intervals and rated clinically","iPS according to unknown clinical criteria"," therapy with selegiline 5mg bid"," continued use and add-on of levodopa-carbidopa later",NA,NA,NA,NA,NA,"treatment with dopamine agonists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks et al. 1998","A placebo-controlled evaluation of ropinirole, a novel D2 agonist, as sole dopaminergic therapy in Parkinson's disease.","Clin Neuropharm","1998","Randomised-controlled trial (RCT)","To evaluate the effects and the safety of ropinirole on iPS-patients","ropinirole",NA,NA,"Randomisation to a. ropinirole or b. placebo on a 2:1 ratio. Dosage of study medication was increased at .5 steps to a maximal dosage of 5mg bid, with dosages being adjusted at the discretion of the investigator, e.g., if side effects appeared","iPS according to unknown clinical criteria"," age between 30 and 80 years"," Hoehn and Yahr stages between 1 and 4"," necessity of dopaminergic therapy",NA,NA,NA,NA,"Patients with childbearing potential"," patients with abnormalities in their medical history, physical examination or diagnostic testing that were deemed to be clinically significant"," patients with orthostatic hypotension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bullock et al. 2021","Zuranolone as an oral adjunct to treatment of Parkinsonian tremor: A phase 2, open-label study.","J Neurol Sci","2021","Quasi-experimental study","Explore effects of zuranolone on iPS-tremor as an add-on therapy","beta_blocker",NA,NA,"Treatmenr with oral zuranolone 20 or 30mg qd for 7 days","iPD defined by unknown clinical criteria"," tremor sum score MDS-UPDRS greater than 7"," tremor motor score greater than 2 on one limb in ON medication state"," stable dosage of dopaminergic medication",NA,NA,NA,NA,"Medication with amatadine or anticholinergics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
